opcode         name              target                                    args                      kwargs
-------------  ----------------  ----------------------------------------  ------------------------  -------------------------------------------------------------------------------------------------------------------------------
placeholder    x                 x                                         ()                        {}
call_module    conv0_0           conv0.0                                   (x,)                      {}
call_module    conv0_1           conv0.1                                   (conv0_0,)                {}
call_module    conv0_2           conv0.2                                   (conv0_1,)                {}
call_module    conv1_0           conv1.0                                   (conv0_2,)                {}
call_module    conv1_1           conv1.1                                   (conv1_0,)                {}
call_module    conv1_2           conv1.2                                   (conv1_1,)                {}
call_module    conv1_3           conv1.3                                   (conv1_2,)                {}
call_module    conv1_4           conv1.4                                   (conv1_3,)                {}
call_module    conv1_5           conv1.5                                   (conv1_4,)                {}
call_module    conv2_0           conv2.0                                   (conv1_5,)                {}
call_module    conv2_1           conv2.1                                   (conv2_0,)                {}
call_module    conv2_2           conv2.2                                   (conv2_1,)                {}
call_module    conv2_3           conv2.3                                   (conv2_2,)                {}
call_module    conv2_4           conv2.4                                   (conv2_3,)                {}
call_module    conv2_5           conv2.5                                   (conv2_4,)                {}
call_module    conv3_0           conv3.0                                   (conv2_5,)                {}
call_module    conv3_1           conv3.1                                   (conv3_0,)                {}
call_module    conv3_2           conv3.2                                   (conv3_1,)                {}
call_module    conv3_3           conv3.3                                   (conv3_2,)                {}
call_module    conv3_4           conv3.4                                   (conv3_3,)                {}
call_module    conv3_5           conv3.5                                   (conv3_4,)                {}
call_module    conv4_0           conv4.0                                   (conv3_5,)                {}
call_module    conv4_1           conv4.1                                   (conv4_0,)                {}
call_module    conv4_2           conv4.2                                   (conv4_1,)                {}
call_module    conv4_3           conv4.3                                   (conv4_2,)                {}
call_module    conv4_4           conv4.4                                   (conv4_3,)                {}
call_module    conv4_5           conv4.5                                   (conv4_4,)                {}
call_module    conv5_0           conv5.0                                   (conv4_5,)                {}
call_module    conv5_1           conv5.1                                   (conv5_0,)                {}
call_module    conv5_2           conv5.2                                   (conv5_1,)                {}
call_module    conv5_3           conv5.3                                   (conv5_2,)                {}
call_module    conv5_4           conv5.4                                   (conv5_3,)                {}
call_module    conv5_5           conv5.5                                   (conv5_4,)                {}
call_module    conv6_0           conv6.0                                   (conv5_5,)                {}
call_module    conv6_1           conv6.1                                   (conv6_0,)                {}
call_module    conv6_2           conv6.2                                   (conv6_1,)                {}
call_module    conv6_3           conv6.3                                   (conv6_2,)                {}
call_module    conv6_4           conv6.4                                   (conv6_3,)                {}
call_module    conv6_5           conv6.5                                   (conv6_4,)                {}
call_module    conv7_0           conv7.0                                   (conv6_5,)                {}
call_module    conv7_1           conv7.1                                   (conv7_0,)                {}
call_module    conv7_2           conv7.2                                   (conv7_1,)                {}
call_module    conv7_3           conv7.3                                   (conv7_2,)                {}
